COMUNA,grupo,vacunados,denominador,cobertura_pct
Renca,salud_publico,1039,1263,82.26
Renca,trab_avicolas_cerdos,16,28,57.14
Renca,trab_educacion,1723,1942,88.72
San Bernardo,adultos_60_mas,33264,52657,63.17
San Bernardo,cronicos_11_59,33100,25319,130.73
San Bernardo,cuidadores_adulto_mayor_eleam,1159,905,128.07
San Bernardo,embarazadas,1947,3060,63.63
San Bernardo,estrategia_capullo,965,1047,92.17
San Bernardo,ninos_6_10_anios,18112,25038,72.34
San Bernardo,ninos_6m_5basico,16330,27117,60.22
San Bernardo,otras_prioridades,6811,7970,85.46
San Bernardo,salud_privado,1317,1196,110.12
San Bernardo,salud_publico,4222,4097,103.05
San Bernardo,trab_avicolas_cerdos,630,1039,60.64
San Bernardo,trab_educacion,3905,4020,97.14
San Joaquín,adultos_60_mas,15477,23730,65.22
San Joaquín,cronicos_11_59,14065,10045,140.02
San Joaquín,cuidadores_adulto_mayor_eleam,888,907,97.91
San Joaquín,embarazadas,468,749,62.48
San Joaquín,estrategia_capullo,271,228,118.86
San Joaquín,ninos_6_10_anios,4233,5421,78.09
San Joaquín,ninos_6m_5basico,4651,6149,75.64
San Joaquín,otras_prioridades,3378,3374,100.12
San Joaquín,salud_privado,597,466,128.11
San Joaquín,salud_publico,805,733,109.82
San Joaquín,trab_avicolas_cerdos,47,49,95.92
San Joaquín,trab_educacion,893,1134,78.75
San José de Maipo,adultos_60_mas,2921,3901,74.88
San José de Maipo,cronicos_11_59,1663,1303,127.63
San José de Maipo,cuidadores_adulto_mayor_eleam,136,143,95.1
San José de Maipo,embarazadas,63,115,54.78
San José de Maipo,estrategia_capullo,13,21,61.9
San José de Maipo,ninos_6_10_anios,1023,1199,85.32
San José de Maipo,ninos_6m_5basico,874,1269,68.87
San José de Maipo,otras_prioridades,293,100,293.0
San José de Maipo,salud_privado,40,51,78.43
San José de Maipo,salud_publico,666,600,111.0
San José de Maipo,trab_avicolas_cerdos,6,5,120.0
San José de Maipo,trab_educacion,223,284,78.52
San Miguel,adultos_60_mas,19431,28430,68.35
San Miguel,cronicos_11_59,15434,11494,134.28
San Miguel,cuidadores_adulto_mayor_eleam,1778,672,264.58
San Miguel,embarazadas,921,1701,54.14
San Miguel,estrategia_capullo,1367,474,288.4
San Miguel,ninos_6_10_anios,7353,7011,104.88
San Miguel,ninos_6m_5basico,7445,8992,82.8
San Miguel,otras_prioridades,4317,4855,88.92
San Miguel,salud_privado,617,1243,49.64
San Miguel,salud_publico,7021,6352,110.53
San Miguel,trab_avicolas_cerdos,42,7,600.0
San Miguel,trab_educacion,1968,1779,110.62
San Pedro,adultos_60_mas,1894,2781,68.1
San Pedro,cronicos_11_59,1342,841,159.57
San Pedro,cuidadores_adulto_mayor_eleam,33,28,117.86
San Pedro,embarazadas,126,143,88.11
San Pedro,estrategia_capullo,35,57,61.4
San Pedro,ninos_6_10_anios,765,772,99.09
San Pedro,ninos_6m_5basico,800,913,87.62
San Pedro,otras_prioridades,313,313,100.0
San Pedro,salud_privado,22,6,366.67
San Pedro,salud_publico,178,146,121.92
San Pedro,trab_avicolas_cerdos,1343,874,153.66
San Pedro,trab_educacion,208,240,86.67
San Ramón,adultos_60_mas,14071,18683,75.31
San Ramón,cronicos_11_59,17379,11344,153.2
San Ramón,cuidadores_adulto_mayor_eleam,478,346,138.15
San Ramón,embarazadas,812,693,117.17
San Ramón,estrategia_capullo,409,237,172.57
San Ramón,ninos_6_10_anios,5392,4825,111.75
San Ramón,ninos_6m_5basico,4150,5505,75.39
San Ramón,otras_prioridades,8278,2301,359.76
San Ramón,salud_privado,106,84,126.19
San Ramón,salud_publico,3307,2862,115.55
San Ramón,trab_avicolas_cerdos,6,4,150.0
San Ramón,trab_educacion,1001,999,100.2
Santiago,adultos_60_mas,40392,68210,59.22
Santiago,cronicos_11_59,30678,27925,109.86
Santiago,cuidadores_adulto_mayor_eleam,2100,1112,188.85
Santiago,embarazadas,3086,3978,77.58
Santiago,estrategia_capullo,361,1209,29.86
Santiago,ninos_6_10_anios,19321,18508,104.39
Santiago,ninos_6m_5basico,19854,26731,74.27
Santiago,otras_prioridades,21526,24020,89.62
Santiago,salud_privado,7550,7309,103.3
Santiago,salud_publico,13239,12301,107.63
Santiago,trab_avicolas_cerdos,87,177,49.15
Santiago,trab_educacion,4168,3858,108.04
Talagante,adultos_60_mas,9772,14052,69.54
Talagante,cronicos_11_59,6440,5932,108.56
Talagante,cuidadores_adulto_mayor_eleam,393,385,102.08
Talagante,embarazadas,378,717,52.72
Talagante,estrategia_capullo,201,222,90.54
Talagante,ninos_6_10_anios,5452,5781,94.31
Talagante,ninos_6m_5basico,4848,6397,75.79
Talagante,otras_prioridades,1275,1202,106.07
Talagante,salud_privado,216,195,110.77
Talagante,salud_publico,1494,1131,132.1
Talagante,trab_avicolas_cerdos,125,302,41.39
Talagante,trab_educacion,1463,1459,100.27
Tiltil,adultos_60_mas,2747,3852,71.31
Tiltil,cronicos_11_59,1917,1441,133.03
Tiltil,cuidadores_adulto_mayor_eleam,72,54,133.33
Tiltil,embarazadas,145,193,75.13
Tiltil,estrategia_capullo,59,90,65.56
Tiltil,ninos_6_10_anios,1449,1479,97.97
Tiltil,ninos_6m_5basico,1378,1668,82.61
Tiltil,otras_prioridades,709,373,190.08
Tiltil,salud_privado,27,28,96.43
Tiltil,salud_publico,331,326,101.53
Tiltil,trab_avicolas_cerdos,64,56,114.29
Tiltil,trab_educacion,436,454,96.04
Vitacura,adultos_60_mas,18153,25287,71.79
Vitacura,cronicos_11_59,3610,2359,153.03
Vitacura,cuidadores_adulto_mayor_eleam,1080,841,128.42
Vitacura,embarazadas,584,1053,55.46
Vitacura,estrategia_capullo,64,282,22.7
Vitacura,ninos_6_10_anios,7910,5320,148.68
Vitacura,ninos_6m_5basico,6079,6133,99.12
Vitacura,otras_prioridades,1475,694,212.54
Vitacura,salud_privado,7432,5780,128.58
Vitacura,salud_publico,771,542,142.25
Vitacura,trab_avicolas_cerdos,15,4,375.0
Vitacura,trab_educacion,1800,1805,99.72
Ñuñoa,adultos_60_mas,35671,57924,61.58
Ñuñoa,cronicos_11_59,14546,12016,121.06
Ñuñoa,cuidadores_adulto_mayor_eleam,2279,2211,103.08
Ñuñoa,embarazadas,1110,1988,55.84
Ñuñoa,estrategia_capullo,277,594,46.63
Ñuñoa,ninos_6_10_anios,9758,11212,87.03
Ñuñoa,ninos_6m_5basico,10632,14995,70.9
Ñuñoa,otras_prioridades,10834,11665,92.88
Ñuñoa,salud_privado,2652,2528,104.91
Ñuñoa,salud_publico,2398,1950,122.97
Ñuñoa,trab_avicolas_cerdos,11,13,84.62
Ñuñoa,trab_educacion,2954,2832,104.31
