comuna,campana,denominador
Las Condes,estrategia_capullo,663
Lo Barnechea,estrategia_capullo,375
Lo Espejo,estrategia_capullo,243
Lo Prado,estrategia_capullo,207
Macul,estrategia_capullo,282
Maipú,estrategia_capullo,1176
María Pinto,estrategia_capullo,45
Melipilla,estrategia_capullo,444
Ñuñoa,estrategia_capullo,594
Padre Hurtado,estrategia_capullo,279
Paine,estrategia_capullo,225
Pedro Aguirre Cerda,estrategia_capullo,237
Peñaflor,estrategia_capullo,246
Peñalolén,estrategia_capullo,639
Pirque,estrategia_capullo,102
Providencia,estrategia_capullo,423
Pudahuel,estrategia_capullo,534
Puente Alto,estrategia_capullo,1629
Quilicura,estrategia_capullo,690
Quinta Normal,estrategia_capullo,345
Recoleta,estrategia_capullo,381
Renca,estrategia_capullo,411
San Bernardo,estrategia_capullo,1047
San Joaquín,estrategia_capullo,228
San José de Maipo,estrategia_capullo,21
San Miguel,estrategia_capullo,474
San Pedro,estrategia_capullo,57
San Ramón,estrategia_capullo,237
Santiago,estrategia_capullo,1209
Talagante,estrategia_capullo,222
Tiltil,estrategia_capullo,90
Vitacura,estrategia_capullo,282
Alhué,salud_privado,6
Buin,salud_privado,450
Calera de Tango,salud_privado,60
Cerrillos,salud_privado,101
Cerro Navia,salud_privado,85
Colina,salud_privado,796
Conchalí,salud_privado,183
Curacaví,salud_privado,83
El Bosque,salud_privado,214
El Monte,salud_privado,16
Estación Central,salud_privado,4220
Huechuraba,salud_privado,290
Independencia,salud_privado,4416
Isla de Maipo,salud_privado,38
La Cisterna,salud_privado,398
La Florida,salud_privado,3906
La Granja,salud_privado,161
La Pintana,salud_privado,230
La Reina,salud_privado,708
Lampa,salud_privado,92
Las Condes,salud_privado,10621
Lo Barnechea,salud_privado,2187
Lo Espejo,salud_privado,99
Lo Prado,salud_privado,132
Macul,salud_privado,2361
Maipú,salud_privado,1891
María Pinto,salud_privado,16
Melipilla,salud_privado,748
Ñuñoa,salud_privado,2528
Padre Hurtado,salud_privado,164
Paine,salud_privado,174
Pedro Aguirre Cerda,salud_privado,290
Peñaflor,salud_privado,100
Peñalolén,salud_privado,864
Pirque,salud_privado,45
Providencia,salud_privado,12503
Pudahuel,salud_privado,436
Puente Alto,salud_privado,1522
Quilicura,salud_privado,234
Quinta Normal,salud_privado,213
Recoleta,salud_privado,3652
Renca,salud_privado,114
San Bernardo,salud_privado,1196
San Joaquín,salud_privado,466
San José de Maipo,salud_privado,51
San Miguel,salud_privado,1243
San Pedro,salud_privado,6
San Ramón,salud_privado,84
Santiago,salud_privado,7309
Talagante,salud_privado,195
Tiltil,salud_privado,28
Vitacura,salud_privado,5780
Alhué,salud_publico,139
Buin,salud_publico,1360
Calera de Tango,salud_publico,189
Cerrillos,salud_publico,408
Cerro Navia,salud_publico,774
Colina,salud_publico,975
Conchalí,salud_publico,1197
Curacaví,salud_publico,300
El Bosque,salud_publico,1921
El Monte,salud_publico,465
Estación Central,salud_publico,1156
Huechuraba,salud_publico,917
Independencia,salud_publico,6804
Isla de Maipo,salud_publico,387
La Cisterna,salud_publico,626
La Florida,salud_publico,5154
La Granja,salud_publico,1165
La Pintana,salud_publico,1507
La Reina,salud_publico,3198
Lampa,salud_publico,686
Las Condes,salud_publico,2487
Lo Barnechea,salud_publico,433
Lo Espejo,salud_publico,818
Lo Prado,salud_publico,1040
Macul,salud_publico,996
Maipú,salud_publico,5429
María Pinto,salud_publico,144
Melipilla,salud_publico,1906
Ñuñoa,salud_publico,1950
Padre Hurtado,salud_publico,448
Paine,salud_publico,634
Pedro Aguirre Cerda,salud_publico,905
Peñaflor,salud_publico,1230
Peñalolén,salud_publico,3887
Pirque,salud_publico,415
Providencia,salud_publico,9480
Pudahuel,salud_publico,2197
Puente Alto,salud_publico,9096
Quilicura,salud_publico,1161
Quinta Normal,salud_publico,3794
Recoleta,salud_publico,1592
Renca,salud_publico,1263
San Bernardo,salud_publico,4097
San Joaquín,salud_publico,733
San José de Maipo,salud_publico,600
San Miguel,salud_publico,6352
San Pedro,salud_publico,146
San Ramón,salud_publico,2862
Santiago,salud_publico,12301
Talagante,salud_publico,1131
Tiltil,salud_publico,326
Vitacura,salud_publico,542
Alhué,trab_educacion,77
Buin,trab_educacion,1366
Calera de Tango,trab_educacion,415
Cerrillos,trab_educacion,988
Cerro Navia,trab_educacion,1398
Colina,trab_educacion,2973
Conchalí,trab_educacion,1456
Curacaví,trab_educacion,608
El Bosque,trab_educacion,2215
El Monte,trab_educacion,736
Estación Central,trab_educacion,1582
Huechuraba,trab_educacion,1304
Independencia,trab_educacion,1140
Isla de Maipo,trab_educacion,631
La Cisterna,trab_educacion,1239
La Florida,trab_educacion,4822
La Granja,trab_educacion,1520
La Pintana,trab_educacion,2745
La Reina,trab_educacion,1997
Lampa,trab_educacion,1574
Las Condes,trab_educacion,3008
Lo Barnechea,trab_educacion,1959
Lo Espejo,trab_educacion,1145
Lo Prado,trab_educacion,1142
Macul,trab_educacion,1559
Maipú,trab_educacion,4919
María Pinto,trab_educacion,223
Melipilla,trab_educacion,2202
Ñuñoa,trab_educacion,2832
Padre Hurtado,trab_educacion,1086
Paine,trab_educacion,1373
Pedro Aguirre Cerda,trab_educacion,1609
Peñaflor,trab_educacion,1442
Peñalolén,trab_educacion,3538
Pirque,trab_educacion,439
Providencia,trab_educacion,2184
Pudahuel,trab_educacion,2273
